"id"	"egg_total"	"repl"	"treat"	"sireid"	"damid"
"S59D177_b_HS"	137.155460193429	"b"	"HS"	"S59"	"D177"
"S59D177_b_LY"	335.539205912846	"b"	"LY"	"S59"	"D177"
"S59D177_b_STD"	179.163528463077	"b"	"STD"	"S59"	"D177"
"S5D13_a_HS"	189.839143552711	"a"	"HS"	"S5"	"D13"
"S5D13_a_LY"	164.09063675285	"a"	"LY"	"S5"	"D13"
"S5D13_a_STD"	250.325594001503	"a"	"STD"	"S5"	"D13"
"S5D13_b_HS"	205.784551719617	"b"	"HS"	"S5"	"D13"
"S5D14_a_LY"	443.508505827225	"a"	"LY"	"S5"	"D14"
"S5D14_a_STD"	336.469142874166	"a"	"STD"	"S5"	"D14"
"S5D14_b_STD"	368.983000993652	"b"	"STD"	"S5"	"D14"
"S5D15_a_HS"	235.023348684375	"a"	"HS"	"S5"	"D15"
"S5D15_a_LY"	349.722314486584	"a"	"LY"	"S5"	"D15"
"S5D15_a_STD"	345.31040482778	"a"	"STD"	"S5"	"D15"
"S5D15_b_HS"	202.914310824533	"b"	"HS"	"S5"	"D15"
"S5D15_b_LY"	248.501098037911	"b"	"LY"	"S5"	"D15"
"S5D15_b_STD"	274.209198071855	"b"	"STD"	"S5"	"D15"
"S61D181_a_HS"	242.475193101259	"a"	"HS"	"S61"	"D181"
"S61D181_a_LY"	424.189437469748	"a"	"LY"	"S61"	"D181"
"S61D181_a_STD"	347.514164890603	"a"	"STD"	"S61"	"D181"
"S61D181_b_HS"	145.24142344496	"b"	"HS"	"S61"	"D181"
"S61D181_b_LY"	323.895947074324	"b"	"LY"	"S61"	"D181"
"S61D181_b_STD"	324.087765586948	"b"	"STD"	"S61"	"D181"
"S61D182_a_HS"	226.177664284078	"a"	"HS"	"S61"	"D182"
"S61D182_a_LY"	280.648002307246	"a"	"LY"	"S61"	"D182"
"S61D182_a_STD"	445.536647462725	"a"	"STD"	"S61"	"D182"
"S61D182_b_HS"	154.794361892382	"b"	"HS"	"S61"	"D182"
"S61D182_b_LY"	292.032349359491	"b"	"LY"	"S61"	"D182"
"S61D182_b_STD"	360.678390446227	"b"	"STD"	"S61"	"D182"
"S61D183_a_HS"	185.438329245282	"a"	"HS"	"S61"	"D183"
"S61D183_a_LY"	422.811869810488	"a"	"LY"	"S61"	"D183"
"S61D183_a_STD"	457.249451135385	"a"	"STD"	"S61"	"D183"
"S61D183_b_HS"	131.179598557324	"b"	"HS"	"S61"	"D183"
"S61D183_b_LY"	235.466665024347	"b"	"LY"	"S61"	"D183"
"S61D183_b_STD"	245.577531818083	"b"	"STD"	"S61"	"D183"
"S7D19_a_HS"	212.203979720123	"a"	"HS"	"S7"	"D19"
"S7D19_a_LY"	343.395169231859	"a"	"LY"	"S7"	"D19"
"S7D19_a_STD"	241.349877116487	"a"	"STD"	"S7"	"D19"
"S7D19_b_HS"	199.923751326589	"b"	"HS"	"S7"	"D19"
"S7D19_b_LY"	353.418749777045	"b"	"LY"	"S7"	"D19"
"S7D19_b_STD"	223.484815827061	"b"	"STD"	"S7"	"D19"
"S7D21_a_HS"	266.984408643003	"a"	"HS"	"S7"	"D21"
"S7D21_a_LY"	276.853454525954	"a"	"LY"	"S7"	"D21"
"S7D21_a_STD"	368.510390097233	"a"	"STD"	"S7"	"D21"
"S7D21_b_HS"	222.240007664507	"b"	"HS"	"S7"	"D21"
"S7D21_b_LY"	328.384080497763	"b"	"LY"	"S7"	"D21"
"S7D21_b_STD"	238.065549840582	"b"	"STD"	"S7"	"D21"
