"fID"	"treat"	"camera_id"	"handcounted"	"handcount"	"test_case"	"visually_recheck"	"setDate.x"	"flipDate.x"	"days.x"	"repl.x"	"NstartF.x"	"NstartM.x"	"box.x"	"ccoord.x"	"rcoord.x"	"deadF.x"	"deadM "	"cens.x"	"carriedF.x"	"carriedM.x"	"NA"	"id.x"	"setDate.y"	"flipDate.y"	"days.y"	"repl.y"	"NstartF.y"	"NstartM.y"	"box.y"	"ccoord.y"	"rcoord.y"	"deadF.y"	"deadM"	"cens.y"	"carriedF.y"	"carriedM.y"	"censSex"	"notes"	"flipper"	"time"	"id.y"
"S17D49_b"	"LY"	"IMG_3122.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"b"	16	6	1	8	7	0	0	0	0	0	"blue ink used"	"S17D49_b_LY"	"3/11/16"	2016-04-12	32	"b"	16	6	1	8	7	0	0	0	0	0	""	""	""	""	"S17D49_b_LY"
"S61D182_b"	"LY"	"IMG_3123.JPG"	NA	NA	NA	NA	2016-03-24	2016-04-12	19	"b"	24	6	3	1	3	0	0	0	0	0	NA	"S61D182_b_LY"	"3/24/16"	2016-04-12	19	"b"	24	6	3	1	3	0	0	0	0	0	""	""	""	""	"S61D182_b_LY"
"S55D164_a"	"LY"	"IMG_3124.JPG"	"yes"	1189	NA	NA	2016-03-11	2016-04-12	32	"a"	19	6	2	3	6	0	0	0	0	0	NA	"S55D164_a_LY"	"3/11/16"	2016-04-12	32	"a"	19	6	2	3	6	0	0	0	0	0	""	""	""	""	"S55D164_a_LY"
"S29D85_b"	"LY"	"IMG_3125.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"b"	24	6	1	2	4	0	0	0	0	0	NA	"S29D85_b_LY"	"3/15/16"	2016-04-12	28	"b"	24	6	1	2	4	0	0	0	0	0	""	""	""	""	"S29D85_b_LY"
"S41D121_b"	"LY"	"IMG_3126.JPG"	NA	NA	NA	NA	2016-03-28	2016-04-12	15	"b"	24	6	1	2	2	0	0	0	0	0	NA	"S41D121_b_LY"	"3/28/16"	2016-04-12	15	"b"	24	6	1	2	2	0	0	0	0	0	""	""	""	""	"S41D121_b_LY"
"S59D175_a"	"LY"	"IMG_3127.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"a"	20	6	2	9	2	0	0	0	0	0	NA	"S59D175_a_LY"	"3/15/16"	2016-04-12	28	"a"	20	6	2	9	2	0	0	0	0	0	""	""	""	""	"S59D175_a_LY"
"S3D9_a"	"LY"	"IMG_3128.JPG"	NA	NA	NA	NA	2016-03-02	2016-04-12	41	"a"	20	6	1	5	5	0	0	0	0	0	NA	"S3D9_a_LY"	"3/2/16"	2016-04-12	41	"a"	20	6	1	5	5	0	0	0	0	0	""	""	""	""	"S3D9_a_LY"
"S59D177_b"	"LY"	"IMG_3129.JPG"	"yes"	1065	NA	NA	2016-03-31	2016-04-12	12	"b"	19	6	1	5	3	0	0	0	0	0	NA	"S59D177_b_LY"	"3/31/16"	2016-04-12	12	"b"	19	6	1	5	3	0	0	0	0	0	""	""	""	""	"S59D177_b_LY"
"S45D135_a"	"LY"	"IMG_3130.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"a"	20	6	4	7	8	0	0	0	0	0	NA	"S45D135_a_LY"	"3/15/16"	2016-04-12	28	"a"	20	6	4	7	8	0	0	0	0	0	""	""	""	""	"S45D135_a_LY"
"S23D69_b"	"LY"	"IMG_3131.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"b"	16	6	4	1	8	0	0	0	0	0	NA	"S23D69_b_LY"	"3/11/16"	2016-04-12	32	"b"	16	6	4	1	8	0	0	0	0	0	""	""	""	""	"S23D69_b_LY"
